10 Slot Bag;Сумка на 10 ячеек;Tasche mit 10 Plätzen;Bolsa de 10 ranuras;Bolsa de 10 casilleros;Sac à 10 emplacements;Borsa da 10 scomparti;10칸 가방;Torba z 10 miejscami;Bolsa com 10 divisões;10格包;10格背包
Creep Generator 5 Cells;Генератор слизи - 5 ячеек;Kriechererzeugung - 5 Zellen;Generador de biomateria: 5 celdas;Generador de talo - 5 celdas;Générateur de mucus 5 cellules;Generatore di biostrato - 5 celle;점막 생성체 5셀;Wydzielacz biomasy - 5 pól;Gerador de Gosma 5 Células;菌毯分泌腺体 5格;蟲苔生成單位 - 5格
Creep Generator 7 Cells;Генератор слизи - 7 ячеек;Kriechererzeugung - 7 Zellen;Generador de biomateria: 7 celdas;Generador de talo - 7 celdas;Générateur de mucus 7 cellules;Generatore di biostrato - 7 celle;점막 생성체 7셀;Wydzielacz biomasy - 7 pól;Gerador de Gosma 7 Células;菌毯分泌腺体 7格;蟲苔生成單位 - 7格
Creep Pods;Капсулы слизи;Kriecherkapsel;Cápsulas de biomateria;Cápsulas de talo;Capsules de mucus;Biocapsule;점막 주머니;Komory biomasy;Módulos de Gosma;菌毯囊;蟲苔囊
Creep Tumor No Creep;Опухоль - без слизи;Kriechertumor - kein Kriecher;Tumor de biomateria sin biomateria;Tumor de talo - Sin talo;Tumeur muqueuse - Pas de mucus;Biotumore - No Biostrato;점막 종양 점막 없음;Tumor biomasy, Brak biomasy;Tumor Gosmento sem Gosma;菌毯肿瘤无菌毯;蟲苔瘤 - 無蟲苔
Creep Tumor Stukov;Опухоль – Стуков;Kriechertumor - Stukov;Tumor de biomateria: Stukov;Tumor de talo - Stukov;Stukov - Tumeur muqueuse;Biotumore - Stukov;점막 종양 스투코프;Tumor Biomasy, Stiukow;Tumor Gosmento de Stukov;菌毯肿瘤 斯托科夫;蟲苔瘤_斯杜科夫
Creep Tumor;Опухоль;Kriechertumor;Tumor de biomateria;Tumor de talo;Tumeur muqueuse;Biotumore;점막 종양;Tumor biomasy;Tumor Gosmento;菌毯肿瘤;蟲苔瘤
Cruiser Bike;Прогулочный мотоцикл;Cruiser;Moto crucero;Moto deslizadora;Véhicule léger;Moto;크루저 이륜차;Motor;Moto Cruzadora;巡航机车;戰巡車
Purifier Data Core;Хранилище данных;Datenzentrum der Richter;Núcleo de datos purificador;Núcleo de datos de los Purificadores;Centre de stockage;Nucleo dati dei Purificatori;정화자 데이터 핵;Rdzeń danych czyścicieli;Núcleo de Dados dos Purificadores;净化者数据核心;淨化者數據核心
Suppression Tower;Башня подавления;Wehrturm;Torre de supresión;Torre de anulación;Tour de neutralisation;Torretta difensiva;진압 탑;Wieża zaporowa;Torre de Supressão;压制塔;抑制光塔
Cybros Lock;Узел «Киброса»;Cybros-Schloss;Cierre de Cybros;Cybros - Bloqueo;Verrou de Cybros;Dispositivo di Cybros;사이브로스 잠금 장치;Blokada Cybrosu;Trava de Cybros;塞布罗斯号禁滞锁;賽博洛斯封鎖裝置
Cyclone Wreckage;Обломки «Циклона»;Zyklon-Wrack;Restos de ciclón;Restos de Ciclón;Débris de Cyclone;Relitto di Cyclone;망가진 사이클론;Wrak cyklonu;Destroços de Ciclone;飓风残骸;颶風飛彈車殘骸
G-4 Clusterbomb;Кассетные бомбы G-4;G-4-Splitterbombe;Bomba de racimo G-4;Bomba de racimo G-4;Bombe à fragmentation G-4;Bomba a grappolo G-4;G-4 집속탄;Bomby kasetowe G-4;Aglomerado de bombas G-4;G-4型集束炸弹;G-4集束炸藥
G-4 Cluster Bomb Weapon;Кассетная бомба G-4 (оружие);G-4-Splitterbombe - Waffe;Arma de bomba de racimo G-4;Bomba de racimo G-4 - Arma;Arme Bombe à fragmentation G-4;Bomba a grappolo G-4 - arma;G-4 집속탄 무기;Bomba kasetowa G-4;Arma - Aglomerado de bombas G-4;G-4型集束炸弹武器;G-4集束炸藥 - 武器
Lab Door;Дверь в лабораторию;Labortür;Puerta del laboratorio;Puerta de laboratorio;Porte du labo;Porta del laboratorio;연구실 문;Drzwi laboratorium;Porta do Laboratório;实验室大门;實驗室閘門
Scientist;Ученый;Wissenschaftler;Científico;Científico;Scientifique;Scienziato;과학자;Naukowiec;Cientista;科学家;科學家
Duke's Revenge Battlecruiser Air Weapon;Крейсер «Возмездие Дюка» - воздух - оружие;Dukes Revenge - Schwerer Kreuzer - Luftwaffe;Crucero de batalla de la Venganza de Duke arma aérea;Venganza de Duke - Crucero de Batalla - Arma Aire;Arme aérienne du cuirassé La Revanche de Duke;Arma aerea Incrociatore Vendetta di Duke;듀크의 복수단 전투순양함 대공 무기;Krążownik Zemsty Duke'a – broń powietrzna;Vingança de Duke - Cruzador de batalha - Aéreo - Arma;杜克的复仇号战列舰对空武器;杜克的復仇戰巡艦空中武器
Duke's Revenge Battlecruiser Ground Weapon;Крейсер «Возмездие Дюка» - земля - оружие;Dukes Revenge - Schwerer Kreuzer - Bodenwaffe;Crucero de batalla de la Venganza de Duke arma terrestre;Venganza de Duke - Crucero de Batalla - Tierra - Arma;Arme terrestre du cuirassé La Revanche de Duke;Arma terrestre Incrociatore Vendetta di Duke;듀크의 복수단 전투순양함 지상 무기;Krążownik Zemsty Duke'a – broń naziemna;Vingança de Duke - Cruzador de batalha - Solo - Arma;杜克的复仇号战列舰对地武器;杜克的復仇戰巡艦地面武器
Damaged Drakken Laser Drill;Поврежденная драккенская лазерная установка;Beschädigter Drakken-Laserbohrer;Taladro láser drakken dañado;Taladro láser Drakken dañado;Foreuse laser Drakken endommagée;Trivella laser Drakken danneggiata;손상된 드라켄 레이저 천공기;Uszkodzone Wiertło Laserowe Drakken;Furadeira Laser Drakken danificada;受损的德拉肯激光钻机;受損的達肯雷射鑽洞機
Damaged Evolution Pit;Поврежденный эволюционный отсек;Beschädigte Evolutionsgrube;Fosa de evolución dañada;Foso de evolución dañado;Fosse d’évolution endommagée;Fossa evolutiva danneggiata;손상된 진화 구덩이;Uszkodzona jama ewolucyjna;Poço Evolucional Danificado;受损的进化坑;受損的進化巢
Damaged Moebius Corps Laser Drill;Поврежденная лазерная установка корпуса Мебиуса;Beschädigter Laserbohrer des Moebius-Corps;Taladro láser dañado de la Organización Moebius;Taladro imparable de la Fuerza Moebius dañado;Foreuse laser du contingent Möbius endommagée;Trivella laser della Divisione Moebius (danneggiata);손상된 뫼비우스 특전대 레이저 천공기;Uszkodzone wiertło laserowe Gwardii Moebiusa;Sonda Laser da Fundação Moebius Danificada;受损的莫比斯军团激光钻机;受損的莫比斯部隊雷射鑽洞機
Damaged Solar Forge;Поврежденная солнечная кузница;Beschädigte Solarschmiede;Forja solar dañada;Forja solar dañada;Forge solaire endommagée;Forgia solare danneggiata;파손된 태양 제련소;Uszkodzona kuźnia solarna;Usina Solar Danificada;受损的太阳锻炉;受損的太陽能冶煉廠
Dark Archon Weapon;Темный архонт - оружие;Dunkler Archon - Waffe;Arma de arconte tétrico;Arconte oscuro - Arma;Archonte noir - Arme;Arconte oscuro - Arma;암흑 집정관 무기;Mroczny archont, Broń;Arma de Arconte das Trevas;Dark Archon Weapon;黑暗執政官 - 武器
Dark Pylon;Темный пилон;Dunkler Pylon;Pilón tétrico;Pilón oscuro;Pylône noir;Pilone oscuro;암흑 수정탑;Mroczny pylon;Pilar Negro;黑暗水晶塔;黑暗水晶塔
Dark Templar Shakuras Weapon;Темный тамплиер - Шакурас - оружие;Dunkler Templer - Shakuras, Waffe;Arma de Shakuras de templario tétrico;Templario oscuro - Shakuras - Arma;Templier noir - Shakuras - Arme;Templare oscuro - Arma Shakuras;암흑 기사 샤쿠라스 무기;Mroczny templariusz, Shakuras, Broń;Templário das Trevas - Shakuras - Arma;Dark Templar Shakuras Weapon;黑暗聖堂武士 - 夏庫拉斯 - 武器
Nerazim Transport;Транспорт неразимов;Transporter der Nerazim;Transporte nerazim;Transporte nerazim;Transport nérazim;Trasporto Nerazim;네라짐 수송선;Transportowiec nerazimów;Transporte dos Nerazim;奈拉齐姆运输船;尼拉辛姆運輸船
Blood Hunter;Кровавый охотник;Blutjäger;Cazador de sangre;Cazador sanguinario;Chasseur de sang;Cacciatore sanguinario;피의 사냥꾼;Łowca krwi;Caçador de Sangue;鲜血猎手;血獵人
Data Core;Хранилище данных;Datenzentrum;Núcleo de datos;Núcleo de datos;Noyau de données;Nucleo dati;데이터 저장소;Rdzeń danych;Núcleo de dados;数据核心;數據核心
Nafash's Corpse;Тело Нафаш;Nafashs Überreste;Cadáver de Nafash;Cadáver de Nafash;Cadavre de Nafash;Cadavere di Nafash;나파시의 시체;Zwłoki Nafash;Cadáver de Nafash;纳法许的尸体;娜法許的屍體
Defense Wall;Защитная стена;Verteidigungswall;Muro defensivo;Pared defensiva;Mur de défense;Muro difensivo;방어벽;Mur obronny;Parede de defesa;防御墙;防禦牆
Fortress Wall;Стена крепости;Festungsmauer;Muro de la fortaleza;Muro de fortaleza;Mur de la forteresse;Mura fortezza;요새 벽;Mur fortecy;Muro da Fortaleza;堡垒墙壁;要塞牆壁
Fortress Gate;Ворота крепости;Festungstor;Puerta de la fortaleza;Compuerta de fortaleza;Porte de la forteresse;Cancelli fortezza;요새 관문;Brama fortecy;Portão da Fortaleza;堡垒大门;要塞大門
Defiler Bone Sample;Скелет осквернителя;Vergifter-Knochenprobe;Muestra de hueso de corruptor;Muestra ósea de Profanador;Échantillon d’os de profanateur;Campione osseo di Contaminatore;파멸충의 뼈 표본;Próbka kości plugawiciela;Amostra de ossos do Poluidor;蝎虫虫骨样本;破壞蠍化石樣本
Dehaka (Anti-Air);Дехака (противовоздушная атака);Dehaka (Luftabwehr);Dehaka (AA);Dehaka (antiaéreo);Dehaka (antiaérien);Dehaka (antiaerea);데하카 (대공);Dehaka (Plot);Dehaka (Antiaérea);德哈卡（对空）;德哈卡（對空）
Dehaka Consume Launch Target Missile;Dehaka Consume Launch Target Missile;Dehaka - Verschlingen, Zielgeschoss starten;Misil de objetivo de lanzamiento de consumir de Dehaka;Dehaka - Consumir - Lanzar - Objetivo - Misil;Dehaka - Assimiler - Lancement - Cible - Projectile;Dehaka - Consunzione - Lancio missile bersaglio;데하카 섭취 발사 대상 미사일;Dehaka, Pożarcie, Odpalenie, Cel, Ustaw;Dehaka Consume Launch Target Missile;德哈卡吞噬发射目标发射物;Dehaka Consume Launch Target Missile
Dehaka Consume Missile;Снаряд «Пожирания» Дехаки;Dehaka - Verschlingen, Geschoss;Misil de consumir de Dehaka;Dehaka - Consumir - Misil;Dehaka - Assimiler - Projectile;Dehaka - Consunzione - Missile;데하카 섭취 투사체;Dehaka, Pożarcie, Pocisk;Dehaka - Consumir - Projétil;德哈卡吞噬发射物;德哈卡吞噬
Dehaka's Den;Логово Дехаки;Dehakas Bau;Guarida de Dehaka;Cubil de Dehaka;Tanière de Dehaka;Tana di Dehaka;데하카의 굴;Nora Dehaki;Covil de Dehaka;德哈卡的巢穴;德哈卡的巢穴
Explosive Creeper;Взрывной ползун;Explosive Zecke;Propagador explosivo;Furtivo explosivo;Mucopode explosif;Locusta esplosiva;폭발성 땅무지;Wybuchowy pełzacz;Rastejante Explosivo;爆裂掘地虫;爆炸飛蝗
Dakrun's Den;Логово Дакруна;Dakruns Bau;Guarida de Dakrun;Cubil de Dakrún;Tanière de Dakrun;Tana di Dakrun;다크룬의 굴;Nora Dakruna;Covil de Dakrun;达克伦的巢穴;達克朗的巢穴
Glevig's Den;Логово Глевига;Glevigs Bau;Guarida de Glevig;Cubil de Glevig;Tanière de Glevig;Tana di Glevig;글레빅의 굴;Nora Gleviga;Covil de Glevig;格里维格的巢穴;葛雷維格的巢穴
Murvar's Den;Логово Мурвар;Murvars Bau;Guarida de Murvar;Cubil de Murvar;Tanière de Murvar;Tana di Murvar;멀바르의 굴;Nora Murvar;Covil de Murvar;穆尔瓦的巢穴;莫瓦的巢穴
Primal Mutalisk Chrysalis;Хризалида изначального муталиска;Kokon eines Urmutalisken;Crisálida de mutalisco primigenio;Crisálida de Mutalisco primigenio;Chrysalide de mutalisk primordial;Crisalide di Mutalisca primordiale;원시 뮤탈리스크 번데기;Poczwarka pierwotnego mutaliska;Primal Mutalisk Chrysalis;原始异龙虫茧;原生飛螳蟲蛹
Greater Primal Wurm;Улучшенный изначальный червь;Großer Urwurm;Guja dragón primigenia superior;Gusano primigenio superior;Ver primordial supérieur;Simbionte primordiale superiore;거대 원시 벌레;Większy pierwotny czerw;Verme Primevo Maior;大型原始蠕虫;大型原生蠕蟲
DehakaNydusDestroyerTimedNoFoodWeapon;DehakaNydusDestroyerTimedNoFoodWeapon;Dehaka - Urwurm, begrenzte Zeit - keine Versorgung, Waffe;DehakaNydusDestroyerTimedNoFoodWeapon;DehakaNydusDestroyerTimedNoFoodWeapon;DehakaNydusDestroyerTimedNoFoodWeapon;DehakaNydusDestroyerTimedNoFoodWeapon;DehakaNydusDestroyerTimedNoFoodWeapon;DehakaNydusNiszczycielOgraniczonyCzasŻyciaBrakPożywieniaBroń;DehakaNydusDestroyerTimedNoFoodWeapon;DehakaNydusDestroyerTimedNoFoodWeapon;DehakaNydusDestroyerTimedNoFoodWeapon
Dehaka Placeholder;Дехака - заглушка;Dehaka - Platzhalter;Dehaka Placeholder;Marcador de posición de Dehaka;Dehaka - Provisoire;Provvisorio Dehaka;데하카 자리표시자;Dehaka Obiekt zastępczy;Dehaka Marcador;德哈卡占位符;德哈卡 - 站位符
Dehaka's Cocoon;Кокон Дехаки;Dehakas Kokon;Capullo de Dehaka;Capullo de Dehaka;Cocon de Dehaka;Bozzolo di Dehaka;데하카 고치;Kokon Dehaki;Casulo de Dehaka;德哈卡的虫茧;德哈卡的蟲繭
Dehaka's Right Arm;Правая рука Дехаки;Dehakas rechter Arm;Brazo derecho de Dehaka;El brazo derecho de Dehaka;Bras droit de Dehaka;Braccio destro di Dehaka;데하카의 오른 팔;Prawe ramię Dehaki;Braço Direito de Dehaka;德哈卡的右臂;德哈卡的右臂
Dehaka Town Hall;Дехака – ратуша;Dehaka - Hauptgebäude;Ayuntamiento de Dehaka;Ayuntamiento de Dehaka;Dehaka - Bâtiment principal;Struttura primaria di Dehaka;데하카 마을 회관;Główna budowla Dehaki;Prefeitura de Dehaka;德哈卡城镇大厅;德哈卡基地
Drakken Pulse Cannon;Драккенская импульсная пушка;Drakken-Impulskanone;Cañón de pulsos drakken;Cañón de pulso Drakken;Canon à impulsions Drakken;Cannone a impulsi Drakken;드라켄 파동포;Działo impulsowe Drakken;Canhão de Pulso Drakken;德拉肯脉冲炮;達肯脈衝加農砲
Destructible Aiur Debris;Разрушаемый завал на Айуре;Zerstörbare Trümmer - Aiur;Escombros destructibles de Aiur;Destruible - Aiur - Escombros;Débris destructibles d’Aïur;Detriti distruggibili di Aiur;파괴 가능한 아이어 잔해;Zniszczalny gruz Aiur;Escombros Destrutíveis de Aiur;可摧毁的残骸 艾尔;可破壞的艾爾碎塊
Tree;Дерево;Baum;Árbol;Árbol;Arbre;Albero;나무;Drzewo;Árvore;树;樹
Flood Light;Прожектор;Flutlicht;Luz de foco;Reflector;Lampe à faisceau;Luce da campo;투광 조명;Reflektor mgielny;Holofote;探照灯;探照燈
Containment Cell;Камера заключения;Verwahrungszelle;Celda de contención;Celda de contención;Cellule d’isolation;Cella di contenimento;구속실;Cela;Cela de Contenção;监禁室;隔離室
Test Tube;Тестовая труба;Teströhre;Tubo de ensayo;Tubo de ensayo;Tube à essai;Vasca;테스트 관;Tuba testowa;Tubo de Teste;实验管;實驗槽
Perimeter Wall;Внешняя стена;Grenzmauer;Muro de perímetro;Pared perimetral;Enceinte;Muro perimetrale;경계벽;Mur obronny;Parede do perímetro;围墙;圍牆
Devastating Shot Weapon;Разрушительный выстрел - оружие;Vernichtende Schusswaffe;Arma de disparo devastador;Disparo devastador - Arma;Arme de tir dévastateur;Arma devastante;막강한 사격 무기;Dewastujący strzał, Broń;Armamento Tiro Devastador;致命一击 武器;毀滅射擊 - 武器
Devastator Missile;Ракета «Разрушитель»;Verwüster-Rakete;Misil devastador;Misil Devastador;Missile dévastateur;Missile Devastator;초토화 미사일;Pocisk Devastator;Míssil Devastador;破坏者飞弹;破壞者飛彈
Devil Dog;Наемник из «Адских Псов»;Devil Dog;Perro Rabioso;Perros del Diablo;Les Chiens d’enfer;Mastino infernale;악마의 개;Piekielny Pies;Cão Infernal;恶魔犬;惡魔犬
Devour Tongue Missile;Пожирание - язык - снаряд;Vernichterzungenprojektil;Misil de lengua de devorar;Devorar lengua - Misil;Missile langue de dévorer;Missile lingua Divoratore;포식귀 혀 미사일;Pożarcie – Język, Pocisk;Míssil Devorar Língua;吞噬舌头 发射物;噬敵異舌 - 飛彈
Devourer Tissue Sample;Образец ткани пожирателя;Vernichtergewebeprobe;Muestra de tejido de devorador;Tejido de Devorador;Échantillon de tissu de dévoreur;Campione di tessuto di Divoratore;포식귀 조직 표본;Próbka tkanki pożeracza;Amostra de tecido de Devorador;吞噬者机体组织样本;吞噬蟲組織樣本
Devourer Tissue;Ткань пожирателя;Vernichtergewebe;Tejido de devorador;Tejido de Devorador;Tissu de dévoreur;Tessuto di Divoratore;포식귀 조직;Tkanka pożeracza;Tecido do Devorador;吞噬者机体组织;吞噬蟲組織
